Year,ADM1_NAME,ADM2_NAME,Stability Zone,Area_Sleikh,Area_Under_Trees,Area_Total,Production,Yield_kg_ha,Area_Rainfed,Production_Rainfed,Yield_Rainfed_kg_ha,Total_Production
2004,As_Suweida,As_Suwayda,1,17,0,17,40,2352.94,1332,466,349.85,506
,As_Suweida,As_Suwayda,2,232,0,232,557,2400.86,10477,4507,430.18,5064
,As_Suweida,Shahba,2,20,0,20,31,1550,6617,3805,575.03,3836
,As_Suweida,Shahba,3,27,0,27,0,0,2568,106,41.28,106
,As_Suweida,Salkhad,2,16,0,16,0,0,12155,1803,148.33,1803
,As_Suweida,Salkhad,3,0,0,0,0,0,289,4,13.84,4
,Dara,Dara,1,2670,0,2670,10349,3876.03,2835,3569,1258.91,13918
,Dara,Dara,2,6594,0,6594,23422,3552.02,13904,8760,630.03,32182
,Dara,Dara,3,316,0,316,1122,3550.63,1308,824,629.97,1946
,Dara,Izra',1,1807,0,1807,7382,4085.22,6474,9336,1442.08,16718
,Dara,Izra',2,932,0,932,3574,3834.76,7946,5650,711.05,9224
,Dara,Izra',3,0,0,0,0,0,85,32,376.47,32
,Dara,As_Sanamayn,1,270,0,270,1031,3818.52,1359,1797,1322.3,2828
,Dara,As_Sanamayn,2,750,0,750,2708,3610.67,5600,3566,636.79,6274
,Dara,As_Sanamayn,3,380,0,380,0,0,800,385,481.25,385
,Dara,As_Sanamayn,4,140,0,140,0,0,181,11,60.77,11
,Dara,As_Sanamayn,5,0,0,0,0,0,0,0,0,0
,Al_Qunaytirah,Al_Qunaytirah,1,1839,0,1839,4781,2599.78,8468,8134,960.56,12915
,Damascus,Duma,4,144,0,144,558,3875,0,0,0,558
,Damascus,Duma,5,7258,0,7258,25404,3500.14,0,0,0,25404
,Damascus,Darayya,3,64,0,64,256,4000,0,0,0,256
,Damascus,Darayya,4,355,0,355,1509,4250.7,0,0,0,1509
,Damascus,Qatana,1,828,0,828,4457,5382.85,1275,1262,989.8,5719
,Damascus,Qatana,2,2877,0,2877,14385,5000,2311,2112,913.89,16497
,Damascus,Qatana,3,703,0,703,3374,4799.43,24,25,1041.67,3399
,Damascus,Az_Zabdani,1,76,0,76,325,4276.32,150,58,386.67,383
,Damascus,Az_Zabdani,2,0,0,0,0,0,16,5,312.5,5
,Damascus,Yabrud,2,144,0,144,510,3541.67,350,125,357.14,635
,Damascus,Yabrud,3,60,0,60,203,3383.33,174,58,333.33,261
,Damascus,Al_Qutayfah,3,3,0,3,8,2666.67,47,0,0,8
,Damascus,Al_Qutayfah,5,152,0,152,589,3875,0,0,0,589
,Damascus,Al_Ghutta,3,2850,0,2850,14620,5129.82,397,261,657.43,14881
,Damascus,Al_Ghutta,4,283,0,283,1296,4579.51,430,264,613.95,1560
,Damascus,Al_Ghutta,5,769,0,769,3922,5100.13,0,0,0,3922
,Damascus,An_Nabk,2,0,0,0,0,0,149,185,1241.61,185
,Damascus,An_Nabk,3,0,0,0,0,0,41,0,0,0
,Damascus,At_Tall,2,10,0,10,21,2100,255,173,678.43,194
,Damascus,At_Tall,3,21,0,21,47,2238.1,60,9,150,56
,Damascus,At_Tall,4,3,0,3,7,2333.33,0,0,0,7
,Homs,Homs,1,3725,0,3725,12218,3280,9547,13862,1451.974442,26080
,Homs,Homs,2,539,0,539,2291,4250.463822,3090,1719,556.3106796,4010
,Homs,Homs,3,15,0,15,42,2800,75,6,80,48
,Homs,Homs,4,282,0,282,586,2078.014184,180,2,11.11111111,588
,Homs,Homs,5,99,0,99,0,0,30,0,0,0
,Homs,Tall Kalakh,1,454,0,454,1408,3101.321586,4507,5972,1325.049922,7380
,Homs,Ar_Rastan,1,5529,0,5529,13508,2443.118105,2836,3081,1086.389281,16589
,Homs,Ar_Rastan,2,46,0,46,154,3347.826087,1953,1203,615.9754224,1357
,Homs,Al_Maghrim,2,82,0,82,166,2024.390244,761,103,135.348226,269
,Homs,Al_Maghrim,3,120,0,120,0,0,1339,124,92.6064227,124
,Homs,Tadmor,5,4100,0,4100,10291,2510,0,0,0,10291
,Homs,Al_Quasir,1,962,0,962,2992,3110.18711,622,684,1099.678457,3676
,Homs,Al_Quasir,2,2666,0,2666,10397,3899.849962,1279,1804,1410.476935,12201
